I,GPA-1376,,P
I,GPA-1377,,P
I,GPA-1378,,P
I,GPA-1379,,P
I,GPA-1383,,P
I,GPA-1384,,P
I,GPA-1385,,P
I,GPA-1386,PVG 1140A,P
I,GPA-1387,PVG 1140B,P
I,GPA-1389,,P
I,GPA-1390,,P
I,LCPTA0032/CNX 003,,P
I,LCPTA0032/CNX 004,,P
I,LCPTA0032/CNX 005,,P
I,LCPTA0033/CNX 003,,P
I,LCPTA0033/CNX 004,,P
I,LCPTA0033/CNX 005,,P
I,MC 976-,,P
I,RECIFICO0408/CC 1069,,P
I,RECIFICO0408/CC 1070,,P
I,SACORCCSM4E7PR03/CC 1069,,P
I,SACORCCSM4E7PR13/CC 1036,,P
I,SCORALM0006/MC 976-,,P
I,SCORENF0017/MC 976-,,P
I,SCORPTM0049/MC 976-,,P
I,SCORPTM0052/ZC 27,,P
I,SCORTABS00045/MC 976-,,P
I,SINTAUXEPF001/PAMPA,,P
I,SINTAUXEPFPR01/PAMPA,,P
I,SINTAUXEPFPR02/PAMPA,,P
I,SINTAUXEPFVE01/PAMPA,,P
I,SINTCCSGAEP0001/CC 1036,,P
I,SINTMCPGAEP0008/PAMPA,,P
I,SRECIFICO0419/ZC 19,,P
I,SRECIFIME1002/ZC 27,,P
I,SRECIFIME1003/ZC 27,,P
I,SRECIFIME1004/ZC 27,,P
I,SRECIFM020101/ZC 27,,P
I,SRECIFM020307/ZC 27,,P
I,SRECIFM020312/ZC 27,,P
I,SRECIPMOP4001C/CNX 003,,P
I,SRECIPMOP4001C/CNX 004,,P
I,SRECIPMOP4001C/CNX 005,,P
I,SRECISEPH0630/ZC 19,,P
I,SRECISEPH0631/ZC 19,,P
I,SRECISEPH0632/ZC 19,,P
I,SRECISEPH0633/ZC 27,,P
I,SRECISEPH1225/ZC 27,,P
I,SRECISEPH1613/ZC 27,,P
I,SRECISEPH1614/ZC 27,,P
I,SRECISEPH1806/ZC 27,,P
I,STCR02502501001/CNX 003,,P
I,STCR02502501001/CNX 004,,P
I,STCR02502501001/CNX 005,,P
I,ZC 19,,P
I,ZC 27,,P
I,ZCP003SZCIN03/ZC 19,,P
I,ZCP003SZCIN04/ZC 19,,P


[dbo].[IMP_ORDINI],,,
no tener en cuenta,ORD_ORDINE,ORD_DES,ORD_TIPOOP
